bit size of p and q,Average Time
10,0.0031710000002931338
11,0.0059234999998807325
12,0.01241600000003018
13,0.02251350000005914
14,0.043941500000073574
15,0.06899500000008629
16,0.1533039999999346
17,0.3489564999999857
18,0.7793390000001637
19,1.246386000000257
20,2.784109499999886
21,5.222618999999668
22,15.927042000000256
23,24.30765049999991
24,46.861824499999784
25,89.42116099999976
26,168.42734450000034
27,359.5664775
