,Brute,Brute,Compiled Brute,Compiled Brute,Better Brute,Better Brute,Compiled Better Brute,Compiled Better Brute,Step,Step,Compiled Step,Compiled Step
,Mean time,Std time,Mean time,Std time,Mean time,Std time,Mean time,Std time,Mean time,Std time,Mean time,Std time
bit size of p and a,,,,,,,,,,,,
8,9.976625442504883e-05,0.0002992991644850965,,,,,,,,,,
9,0.0001994490623474121,0.00039903548901936423,,,,,,,,,,
10,0.00044879913330078127,0.0004961661359240843,0.0002991795539855957,0.0004570104459042632,,,,,,,0.0,0.0
11,0.0007979512214660644,0.0008104319566941365,0.0005002498626708984,0.0005002864797519287,,,,,,,0.0,0.0
12,0.0017437934875488281,0.0011328490786691383,0.0012482523918151856,0.0007660820932604565,0.0001995563507080078,0.00039911305035583846,,,,,0.0,0.0
13,0.0037413597106933593,0.0022212903782082866,0.0022454142570495607,0.0016672730828563003,0.0004488348960876465,0.0004962070745723223,0.0,0.0,,,0.0,0.0
14,0.00581284761428833,0.004835163374897354,0.0044381976127624515,0.0030837589285560066,0.000699615478515625,0.0004581278318574252,4.965066909790039e-05,0.00021642224907692558,,,0.0,0.0
15,0.014311623573303223,0.009504218855968064,0.011319541931152343,0.007446843085460263,0.0013962268829345703,0.0009699052547047443,0.00014951229095458985,0.00035591063599696226,,,0.0,0.0
16,0.03296186923980713,0.020478801560651242,0.018698465824127198,0.017472832529326774,0.003390932083129883,0.001954540550491558,0.0001994609832763672,0.00039901954778363494,,,4.9948692321777344e-05,0.00021772130219263342
17,0.08132519721984863,0.05628809788218744,0.051839566230773924,0.034442457756273866,0.00443812608718872,0.003617490025425988,0.00044858455657958984,0.000587775260152446,,,,
18,,,0.1143229603767395,0.056357850151978396,0.012516510486602784,0.007247178160988438,0.00099714994430542,0.0008899710880005206,,,,
19,,,0.19797564744949342,0.13353167476599595,0.02052360773086548,0.014890008841629152,0.001944756507873535,0.001355237454800603,,,,
20,,,,,0.03979208469390869,0.03322807194643727,0.00498666763305664,0.0026769746976208885,0.003640282154083252,0.001105228985358264,,
21,,,,,0.11760740280151367,0.0537697989754394,0.005934321880340576,0.004168922854075871,0.006584846973419189,0.002315752183551745,,
22,,,,,,,0.02139432430267334,0.012350422330291913,0.008178198337554931,0.0027422968679914838,,
23,,,,,,,0.032564187049865724,0.025427398940661653,0.011795592308044434,0.003973069836679185,,
24,,,,,,,0.04899578094482422,0.03832515069533386,0.018886232376098634,0.006092103387454361,,
25,,,,,,,0.14112697839736937,0.08101443245031283,0.0286234974861145,0.009241444528745738,,
26,,,,,,,,,0.045579731464385986,0.012693234769803614,,
27,,,,,,,,,0.059145426750183104,0.022122406241077124,,
28,,,,,,,,,0.10223783254623413,0.029111113153561078,,
29,,,,,,,,,0.15747909545898436,0.06342297636113553,,
