bit size of p and q,Average Time
10,0.0026040000000000507
11,0.005602999999999803
12,0.012318499999999899
13,0.01958850000000001
14,0.03971049999999998
15,0.08634450000000005
16,0.17734899999999998
17,0.3192759999999999
18,0.6331375000000001
19,1.3825720000000001
20,2.514069
21,5.0381245
22,10.1777475
23,19.226703500000003
24,49.656200999999996
25,108.22393
26,174.12211549999998
27,362.14800549999995
